Acc_X,Acc_Y,Acc_Z,Label
0.06988525400000001,0.28674316,0.08062744,17
0.105285645,0.27386475,0.095214844,17
0.0803833,0.29205322,0.12182617,17
0.07739258,0.31097412,0.16040039,17
0.074157715,0.28729248,0.16485596,17
0.061340332000000004,0.2675171,0.12646484,17
0.05505371,0.20507812,0.117004395,17
0.04852295,0.16870117,0.101745605,17
0.03942871,0.14050293,0.09033203,17
0.030822753999999997,0.11932373,0.07489014,17
0.025634766,0.119140625,0.0680542,17
0.030090332,0.12994385,0.07043457,17
0.042785645,0.15057373,0.07556152,17
0.05517578,0.1899414,0.08636474599999999,17
0.06555176,0.23803711,0.10095215,17
0.0690918,0.24963379,0.10015869,17
0.07446289,0.22839355,0.12017822,17
0.096191406,0.25305176,0.10662842,17
0.10821533,0.289917,0.10449219,17
0.11639404,0.29376220000000003,0.10498047,17
0.12805176,0.29754640000000004,0.10894775400000001,17
0.12963867,0.31323242,0.10900879,17
0.14038086,0.3012085,0.13055419999999998,17
0.12207031,0.24688720000000003,0.072143555,17
0.14422607,0.21551514,0.060791015999999996,17
0.15246582,0.21435547,0.06439209,17
0.12762451,0.20257568,0.0637207,17
0.113342285,0.1763916,0.07342529,17
0.09655762,0.15393066,0.07006836,17
0.06671142599999999,0.13989258,0.08764648400000001,17
0.05303955,0.1439209,0.06359863,17
0.04260254,0.14868164,0.054870605,17
0.019958496000000003,0.15747070000000002,0.072143555,17
0.012268066000000001,0.206604,0.07543945,17
0.007995606,0.22497559,0.0881958,17
0.002075195,0.26245117,0.085998535,17
-0.005615234,0.26812744,0.08355713,17
-0.022705077999999997,0.27911377,0.072265625,17
-0.026611327999999997,0.29632568,0.05596924,17
0.009765625,0.36920166,0.01940918,17
0.025695799999999998,0.35498047,0.06188965,17
0.05078125,0.31005859999999996,0.07733154,17
0.07019043,0.26470947,0.09423828,17
0.05645752,0.2672119,0.14929199,17
0.07263183599999999,0.31225586,0.18493652,17
0.08160400400000001,0.3217163,0.19830322,17
0.086120605,0.2821045,0.14898682,17
0.08422851599999999,0.22607422,0.11560058599999999,17
0.052612305,0.16741943,0.08679199,17
0.055419922,0.13946533,0.08984375,17
0.04083252,0.11425781,0.06628418,17
0.041992188,0.101379395,0.07421875,17
0.0435791,0.11419678,0.07501221,17
0.05615234400000001,0.14099121,0.07775879,17
0.06719971,0.18133545,0.10253906,17
0.07165527,0.22381592,0.12640381,17
0.07580566400000001,0.23474121,0.10620117,17
0.06982422,0.21533203,0.10180664,17
0.08618164,0.24145508,0.12347412,17
0.09704589999999999,0.27294922,0.11431885,17
0.09906006,0.27355957,0.10406494,17
0.113464355,0.27545166,0.12084961,17
0.13916016,0.30682373,0.12725830000000002,17
0.15057373,0.31781006,0.11328125,17
0.15472412,0.2748413,0.09338379,17
0.17675781,0.23626709,0.10595703,17
0.19122314,0.21966553,0.07800293,17
0.15704346,0.19189453,0.06988525400000001,17
0.12957764,0.16070557,0.08288574,17
0.08325195,0.14184570000000002,0.07843017599999999,17
0.05810547,0.14459229,0.07287598,17
0.043273926,0.14855957,0.07580566400000001,17
0.012817383,0.15960693,0.08428955,17
0.005004883,0.17504883,0.07580566400000001,17
-0.000732,0.19586182,0.08325195,17
-0.007873535,0.21643066,0.067871094,17
-0.003662109,0.20550537,0.07098389,17
-0.006774901999999999,0.21618652,0.057495117000000005,17
0.00769043,0.26031494,0.048034667999999996,17
0.044616699999999995,0.36395264,-0.00793457,17
0.042541504,0.33880615,0.1026001,17
0.07781982400000001,0.38708496,0.103637695,17
0.054870605,0.34033203,0.15881348,17
0.061645507999999995,0.3314209,0.07910156,17
0.09741211,0.28540040000000005,0.09301758,17
0.09991455,0.30432129999999996,0.11547851599999999,17
0.08856201,0.27349854,0.1821289,17
0.10144043,0.28198242,0.18884277,17
0.08886719,0.29571533,0.16400146,17
0.09222412,0.24310303,0.14343262,17
0.07379150400000001,0.22711182,0.11114502,17
0.059387207000000004,0.20867919999999998,0.1083374,17
0.04248047,0.17529297,0.060424805,17
0.03125,0.12005615,0.07281494,17
0.026489257999999998,0.10534668,0.051086426,17
0.027038574,0.09838867,0.05242919999999999,17
0.028625487999999998,0.11517334,0.055236815999999994,17
0.06188965,0.13684082,0.060424805,17
0.045654297,0.16503906,0.077941895,17
0.06628418,0.17993164,0.09014892599999999,17
0.089904785,0.20831299,0.10687256,17
0.11676025400000001,0.29986572,0.14398193,17
0.11413574,0.32818604,0.13201904,17
0.113464355,0.2514038,0.11260986,17
0.13946533,0.25286865,0.11767578,17
0.14556885,0.3102417,0.117004395,17
0.16748047,0.2949829,0.12609863,17
0.1116333,0.1906128,0.055847167999999996,17
0.08532715,0.14154053,0.05871582,17
0.062561035,0.11236572,0.052490234000000004,17
0.053771973,0.08392334,0.05230713,17
0.033569336,0.09075928,0.04724121,17
0.028076172000000003,0.12261963,0.05316162,17
0.012573242,0.17712402,0.033996582000000004,17
-0.008178711,0.23272705,0.021972656,17
-0.013671875,0.31011963,0.013183594,17
-0.009521484,0.31518555,0.030212402000000003,17
0.019104003999999997,0.32757568,0.048095703,17
0.053527832000000004,0.3310547,0.107910156,17
0.0871582,0.28979492,0.1819458,17
0.09484863,0.40258790000000005,0.029541016,17
0.0836792,0.29595947,0.15808105,17
0.057678223,0.3314209,0.10522461,17
0.09533691400000001,0.19763184,0.12158203,17
0.12731934,0.22009277,0.16021729,17
0.11193848,0.25604248,0.1694336,17
0.12487793,0.31237793,0.22076416,17
0.10516357400000001,0.30560303,0.13677979,17
0.078308105,0.2592163,0.10662842,17
0.06060791,0.20220947,0.09411621,17
0.055114746,0.16363525,0.07745361,17
0.0435791,0.13018799,0.061157227,17
0.03491211,0.10870361,0.057556152,17
0.03527832,0.11370849599999999,0.045898438,17
0.039123535,0.1262207,0.047180176,17
0.043273926,0.14672852,0.05267334,17
0.05316162,0.16369629,0.058288574,17
0.061340332000000004,0.20587158,0.095214844,17
0.06970215,0.24780273,0.06024169999999999,17
0.08355713,0.2939453,0.08160400400000001,17
0.09661865,0.34692383,0.12628174,17
0.07885742,0.3154297,0.12414551,17
0.09075928,0.24023438,0.12725830000000002,17
0.10571289,0.24987793,0.11364746,17
